************************************************
*    Row   *     el.UZ *      el.E *         1 *
*      253 * 0.7507429 * 406.39315 *         1 *
*      254 * 0.7471414 * 405.04834 *         1 *
*      255 * 0.8505350 * 673.62506 *         1 *
*      256 * 0.8283357 * 519.64660 *         1 *
*      257 * 0.8578535 * 434.34903 *         1 *
*      258 * 0.8107199 * 627.78302 *         1 *
*      259 * 0.6405051 * 504.85009 *         1 *
*      260 * 0.6511542 * 812.33721 *         1 *
*      261 * 0.9670077 * 202.12574 *         1 *
*      262 * 0.1662534 * 347.37265 *         1 *
*      263 * 0.8529255 * 249.26324 *         1 *
*      264 * 0.2122859 * 226.57641 *         1 *
*      265 * 0.3437010 * 289.11578 *         1 *
*      266 * 0.7503664 * 727.55181 *         1 *
*      267 * 0.9907438 * 810.22570 *         1 *
*      268 * 0.4513502 * 301.23559 *         1 *
*      269 * 0.6059767 * 225.18525 *         1 *
*      270 * 0.4620782 * 460.87942 *         1 *
*      271 * 0.6928270 * 882.22460 *         1 *
*      272 * 0.0110160 * 371.90597 *         1 *
*      273 * 0.8355051 * 588.63964 *         1 *
*      274 * 0.9928140 * 406.73825 *         1 *
*      275 * 0.5388871 * 226.52531 *         1 *
*      276 * 0.7641153 * 215.22758 *         1 *
*      277 * 0.9205201 * 306.38543 *         1 *
*      278 * -0.978322 * 299.31082 *         1 *
*      279 * 0.7373043 * 624.37396 *         1 *
*      280 * 0.8826923 * 240.12939 *         1 *
*      281 * 0.9473037 * 423.33517 *         1 *
*      282 * 0.4975590 * 325.20892 *         1 *
*      283 * 0.8379911 * 935.11981 *         1 *
*      284 * -0.505390 * 167.40069 *         1 *
*      285 * 0.8434262 * 914.95105 *         1 *
*      286 * -0.141876 * 415.62179 *         1 *
*      287 * 0.9584472 * 361.08578 *         1 *
*      288 * -0.013744 * 449.58212 *         1 *
*      289 * 0.8524067 * 833.12463 *         1 *
*      290 * -0.283440 * 195.22326 *         1 *
*      291 * 0.9340212 * 296.85006 *         1 *
*      292 * -0.523699 * 300.56265 *         1 *
*      293 * -0.187948 * 189.73461 *         1 *
*      294 * 0.8418192 * 358.27005 *         1 *
*      295 * -0.301422 * 330.81344 *         1 *
*      296 * 0.7751932 * 876.45819 *         1 *
*      297 * 0.6781996 * 469.59063 *         1 *
*      298 * 0.8033220 * 201.11897 *         1 *
*      299 * 0.1457445 * 351.09683 *         1 *
*      300 * 0.7293421 * 352.41522 *         1 *
*      301 * 0.8214430 * 330.21679 *         1 *
*      302 * 0.1394103 * 381.83837 *         1 *
*      303 * 0.0530034 * 191.11708 *         1 *
*      304 * 0.4331935 * 217.31596 *         1 *
*      305 * 0.5960886 * 256.42361 *         1 *
*      306 * 0.9772318 * 570.73834 *         1 *
*      307 * 0.1744780 * 252.03805 *         1 *
*      308 * -0.004535 * 204.44503 *         1 *
*      309 * 0.9403207 * 584.07452 *         1 *
*      310 * 0.5554408 * 216.12580 *         1 *
*      311 * -0.391736 * 281.79226 *         1 *
*      312 * 0.9763949 * 388.96032 *         1 *
*      313 * 0.7085167 * 743.38708 *         1 *
*      314 * 0.0811938 * 205.95199 *         1 *
*      315 * -0.477070 * 156.26582 *         1 *
*      316 * 0.4996604 * 447.06350 *         1 *
*      317 * 0.8340843 * 935.51275 *         1 *
*      318 * 0.8240978 * 204.29528 *         1 *
*      319 * 0.8858572 * 219.96284 *         1 *
*      320 * 0.7855351 * 681.12188 *         1 *
*      321 * 0.5536643 * 268.40835 *         1 *
*      322 * 0.2152946 * 198.45794 *         1 *
*      323 * 0.6677361 * 391.28234 *         1 *
*      324 * 0.1907211 * 227.21847 *         1 *
*      325 * -0.101194 * 220.47805 *         1 *
*      326 * 0.2929556 * 239.30859 *         1 *
*      327 * 0.8882017 * 367.50448 *         1 *
*      328 * 0.5505926 * 738.31726 *         1 *
*      329 * 0.0888445 * 457.27475 *         1 *
*      330 * 0.5796216 * 251.35337 *         1 *
*      331 * 0.4723822 * 413.64532 *         1 *
*      332 * 0.9199403 * 974.30926 *         1 *
*      333 * -0.061016 * 309.30877 *         1 *
*      334 * 0.9740365 * 404.05239 *         1 *
*      335 * -0.314609 * 316.93283 *         1 *
*      336 * 0.9106707 * 885.26959 *         1 *
*      337 * 0.8362804 * 283.43127 *         1 *
*      338 * 0.4788967 * 583.03192 *         1 *
*      339 * -0.786542 * 201.22319 *         1 *
*      340 * 0.7126896 * 441.18933 *         1 *
*      341 * -0.018535 * 338.91073 *         1 *
*      342 * 0.6887305 * 369.32159 *         1 *
*      343 * 0.4344206 * 546.41589 *         1 *
*      344 * 0.0389167 * 192.01426 *         1 *
*      345 * -0.319656 * 187.15956 *         1 *
*      346 * 0.4982150 * 544.42169 *         1 *
*      347 * 0.8809256 * 381.01901 *         1 *
*      348 * -0.652276 * 193.57716 *         1 *
*      349 * 0.0483320 * 196.47305 *         1 *
*      350 * -0.649271 * 292.30007 *         1 *
*      351 * 0.9118067 * 935.23791 *         1 *
*      352 * 0.9547581 * 298.23712 *         1 *
*      353 * 0.4408204 * 321.85788 *         1 *
*      354 * 0.1086488 * 286.70211 *         1 *
*      355 * 0.9713583 * 593.10449 *         1 *
*      356 * 0.4347382 * 454.20660 *         1 *
*      357 * 0.3587075 * 356.78613 *         1 *
*      358 * 0.0121510 * 177.55218 *         1 *
*      359 * 0.7959732 * 748.48736 *         1 *
*      360 * 0.9070853 * 306.23107 *         1 *
*      361 * 0.9503716 * 290.13299 *         1 *
*      362 * 0.9609745 * 731.91973 *         1 *
*      363 * 0.1999115 * 337.34417 *         1 *
*      364 * -0.586916 * 184.16995 *         1 *
*      365 * 0.1771097 * 302.34982 *         1 *
*      366 * 0.4527150 * 389.85321 *         1 *
*      367 * -0.053331 * 262.86221 *         1 *
*      368 * -0.264748 * 209.14184 *         1 *
*      369 * 0.4280531 * 592.85211 *         1 *
*      370 * 0.7617525 * 635.41455 *         1 *
*      371 * 0.1683889 * 477.40902 *         1 *
*      372 * -0.089586 * 178.68566 *         1 *
*      373 * 0.9335909 * 369.87506 *         1 *
*      374 * 0.8421317 * 585.41107 *         1 *
*      375 * -0.174382 * 205.08151 *         1 *
*      376 * 0.3993039 * 508.21011 *         1 *
*      377 * 0.9328497 * 1079.4896 *         1 *
*      378 * -0.269864 * 234.28245 *         1 *
*      379 * -0.710116 * 154.28030 *         1 *
*      380 * 0.0485005 * 369.55459 *         1 *
*      381 * -0.919513 * 244.75073 *         1 *
*      382 * 0.9994263 * 822.26226 *         1 *
*      383 * 0.9045438 * 699.92376 *         1 *
*      384 * 0.8611456 * 208.70016 *         1 *
*      385 * 0.3880398 * 281.82257 *         1 *
*      386 * 0.6819319 * 255.85569 *         1 *
*      387 * 0.5660251 * 456.47164 *         1 *
*      388 * 0.7004882 * 547.36773 *         1 *
*      389 * 0.8262816 * 414.69635 *         1 *
*      390 * 0.1298789 * 471.59918 *         1 *
*      391 * 0.8266999 * 286.06527 *         1 *
*      392 * -0.320373 * 237.74105 *         1 *
*      393 * -0.210923 * 252.44332 *         1 *
*      394 * 0.3224292 * 611.68414 *         1 *
*      395 * 0.8954461 * 984.54486 *         1 *
*      396 * 0.9339022 * 255.60743 *         1 *
*      397 * 0.8187836 * 661.86517 *         1 *
*      398 * 0.9639582 * 383.86294 *         1 *
*      399 * 0.5362077 * 374.45196 *         1 *
*      400 * 0.8856907 * 663.98651 *         1 *
*      401 * 0.3466120 * 516.71063 *         1 *
*      402 * -0.079305 * 264.04992 *         1 *
*      403 * 0.5375452 * 485.45230 *         1 *
*      404 * 0.6877930 * 851.22784 *         1 *
*      405 * 0.2553889 * 272.77435 *         1 *
*      406 * 0.6594827 * 312.33279 *         1 *
*      407 * 0.8414596 * 290.20965 *         1 *
*      408 * 0.8675517 * 464.04534 *         1 *
