************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      219 * -0.155588 * 229.65791 * 1.2247030 *
*      220 * -0.186775 * 222.83731 * 1.0598217 *
*      221 * 0.9838538 * 358.06012 * 1.0919058 *
*      222 * 0.1769775 * 229.61653 * 1.0968669 *
*      223 * -0.482280 * 207.82083 * 1.0591815 *
*      224 * 0.9757149 * 441.12106 * 0.9228251 *
*      225 * 0.9721753 * 383.42773 * 1.1767065 *
*      226 * -0.537022 * 162.36956 * 1.2279664 *
*      227 * 0.9907843 * 867.44793 * 0.8743329 *
*      228 * 0.7605638 * 282.99527 * 0.9547495 *
*      229 * -0.184127 * 220.95800 * 1.1962342 *
*      230 * 0.6844847 * 423.53506 * 0.9062039 *
*      231 * 0.7840423 * 302.98074 * 1.2094601 *
*      232 * 0.9819491 * 459.53872 * 1.0710721 *
*      233 * 0.2481155 * 261.47528 * 0.9467082 *
*      234 * -0.224236 * 193.52963 * 1.1427030 *
*      235 * 0.3102969 * 423.29318 * 0.8814743 *
*      236 * 0.6824156 * 283.33313 * 1.0226589 *
*      237 * -0.974560 * 153.64692 * 2.1289677 *
*      238 * 0.6345466 * 277.76425 * 0.9616344 *
*      239 * 0.7687554 * 316.53042 * 0.8977765 *
*      240 * 0.9465253 * 493.10195 * 0.8167631 *
*      241 * 0.5353608 * 307.53710 * 0.8688745 *
*      242 * 0.6364927 * 404.30065 * 1.0221567 *
*      243 * 0.8505082 * 480.87881 * 0.9335044 *
*      244 * 0.0305712 * 204.69734 * 1.1266712 *
*      245 * 0.6607478 * 324.53299 * 0.9478925 *
*      246 * 0.9952880 * 431.97186 * 1.0258617 *
*      247 * 0.0935433 * 260.64553 * 1.1750655 *
*      248 * -0.161355 * 171.58181 * 1.3929207 *
*      249 * 0.6658173 * 389.38830 * 1.2292830 *
*      250 * -0.576262 * 238.82531 *  1.277156 *
*      251 * 0.8816614 * 413.28817 * 0.9015399 *
*      252 * 0.0802878 * 178.89881 * 1.4026006 *
*      253 * 0.5415732 * 373.65969 * 0.9414870 *
*      254 * 0.6525838 * 348.91223 * 0.8783358 *
*      255 * 0.4778538 * 276.12014 * 0.9779998 *
*      256 * 0.1316013 * 300.78970 * 1.0321178 *
*      257 * 0.4891867 * 325.33975 * 0.9206426 *
*      258 * 0.6414503 * 264.46060 * 1.1144570 *
*      259 * -0.625492 * 181.08902 * 2.0720531 *
*      260 * 0.7886080 * 360.96301 * 1.1606961 *
*      261 * 0.0460240 * 229.24217 * 1.0456845 *
*      262 * 0.5671083 * 369.34210 * 0.8986907 *
*      263 * 0.4795075 * 254.99182 * 1.1516410 *
************************************************
