************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      153 * 0.4182268 * 436.18527 * 1.2799999 *
*      154 * 0.8303056 * 823.69598 * 0.9760690 *
*      155 * 0.4044703 * 279.08499 *         1 *
*      156 * 0.8180652 * 563.57415 * 0.9666132 *
*      157 * 0.9302854 * 914.16632 * 1.2799999 *
*      158 * 0.7691064 * 503.83123 * 0.9783830 *
*      159 * 0.9562734 * 762.65960 * 0.9711481 *
*      160 * 0.2354399 * 198.42591 * 1.2799999 *
*      161 * 0.4770062 * 360.29049 * 0.9355493 *
*      162 * 0.2529223 * 462.05807 *         1 *
*      163 * 0.3480524 * 316.04504 * 0.9666880 *
*      164 * 0.9907296 * 1118.2025 * 0.9699922 *
*      165 * 0.4937334 * 362.75567 * 0.9685146 *
*      166 * 0.9961067 * 1148.3886 * 1.0457997 *
*      167 * -0.676598 * 329.92364 * 0.9696324 *
*      168 * 0.3680024 * 395.85699 * 0.9691544 *
*      169 * 0.3319996 * 541.20367 * 1.2799999 *
*      170 * 0.8389155 * 560.52954 * 1.2799999 *
*      171 * 0.8971253 * 894.71527 * 1.2799999 *
*      172 * 0.3617160 * 444.34579 * 0.9655610 *
*      173 * 0.8899331 * 981.42089 * 1.2799999 *
*      174 * 0.7252449 * 780.70019 * 0.9689708 *
*      175 * 0.4312325 * 396.37731 * 0.9678689 *
*      176 * 0.9045672 * 603.02514 * 0.9687356 *
*      177 * -0.576781 * 303.49865 * 0.9704523 *
*      178 * 0.0230583 * 536.66491 * 1.2799999 *
*      179 * 0.8086192 * 789.12439 * 0.9666604 *
*      180 * 0.8357879 * 651.40637 * 1.2799999 *
*      181 * 0.7102727 * 862.01190 * 0.9716336 *
*      182 * 0.8444694 * 711.06042 * 1.2799999 *
*      183 * 0.8009284 * 753.92364 * 0.9673441 *
*      184 * 0.4219667 * 454.95147 * 0.9663388 *
*      185 * 0.7936108 * 753.86688 * 1.2799999 *
*      186 * 0.0058396 * 276.85006 * 0.9676362 *
*      187 * 0.8496900 * 649.79925 * 1.0907548 *
*      188 * 0.8560231 * 957.36462 * 0.9684874 *
*      189 * 0.6860130 * 570.15344 * 0.9695527 *
*      190 * 0.8500422 * 747.09674 * 0.9657702 *
*      191 * 0.8030629 * 797.55511 *         1 *
*      192 * 0.9786522 * 704.30383 * 1.2799999 *
*      193 * 0.1208298 * 447.96868 * 1.2799999 *
*      194 * 0.8672621 *  655.6521 * 1.2799999 *
*      195 * 0.5319356 * 466.77816 * 1.2799999 *
*      196 * 0.7404738 * 359.09640 * 1.2799999 *
*      197 * 0.1971886 * 342.94107 * 0.9684358 *
*      198 * 0.9534927 * 834.45135 * 1.2799999 *
*      199 * 0.7139158 * 662.41259 * 1.2799999 *
*      200 * 0.7817527 * 607.59515 *         1 *
*      201 * 0.6497082 * 747.77905 * 0.9684718 *
*      202 * 0.7091992 * 753.21044 * 1.2799999 *
*      203 * 0.9647921 * 1084.3522 *         1 *
*      204 * 0.9434742 * 1124.2883 * 1.2799999 *
*      205 * 0.9032549 * 772.60107 * 1.2799999 *
*      206 * -0.759736 * 237.86674 * 0.9703718 *
*      207 * 0.7141320 * 583.26940 *         1 *
*      208 * -0.095416 * 433.39572 * 1.2799999 *
*      209 * 0.8874124 * 538.50598 * 1.2799999 *
*      210 * 0.6948646 * 883.38598 * 0.9711760 *
*      211 * -0.399747 * 303.11233 * 1.2799999 *
*      212 * 0.2346950 * 230.49241 * 1.2799999 *
*      213 * 0.1635651 * 505.59155 * 0.7919383 *
*      214 * 0.8226277 * 528.81951 * 0.9729432 *
*      215 * -0.739955 * 310.26150 * 1.2799999 *
*      216 * -0.563468 * 245.55857 * 0.9720076 *
*      217 * 0.6064878 * 508.65881 *         1 *
*      218 * 0.9542713 * 667.96301 * 1.2799999 *
*      219 * 0.2338427 * 339.58630 * 0.9665993 *
*      220 * 0.9429286 * 765.51220 * 1.2799999 *
*      221 * 0.7143996 * 392.79400 * 0.9674470 *
*      222 * 0.3852710 * 658.99462 * 0.9748495 *
*      223 * 0.8791667 * 869.03729 * 1.2799999 *
*      224 * -0.081593 * 435.14950 * 1.2799999 *
*      225 * 0.6993689 * 587.71826 *         1 *
*      226 * -0.354821 * 258.85174 *         1 *
*      227 * 0.8951940 * 817.94317 * 0.9704573 *
*      228 * 0.5459542 * 353.27624 * 1.2799999 *
*      229 * 0.7634933 * 401.09143 * 0.9696065 *
*      230 * 0.5602502 * 534.85601 * 1.2799999 *
*      231 * -0.507935 * 209.91899 * 1.2799999 *
*      232 * 0.8392724 * 679.86993 *         1 *
*      233 * 0.5966444 * 588.27392 * 1.2799999 *
*      234 * 0.4835565 * 542.61059 * 0.9658933 *
*      235 * -0.342578 * 311.86492 * 1.2799999 *
*      236 * 0.3642224 * 221.22389 * 1.2799999 *
*      237 * 0.6520515 * 730.46301 * 1.2799999 *
*      238 * 0.9276657 * 777.10382 * 1.2799999 *
*      239 * 0.5221970 * 436.91876 *         1 *
*      240 * 0.0938693 * 530.61120 * 0.9691988 *
*      241 * -0.651747 * 233.20343 *         1 *
*      242 * -0.295784 * 323.07968 *         1 *
*      243 * -0.213052 * 313.44955 * 0.9684740 *
*      244 * 0.4107355 * 429.90243 * 1.2799999 *
*      245 * 0.2406381 * 480.57241 * 1.2799999 *
*      246 * 0.4440377 * 344.85247 * 0.9694647 *
*      247 * 0.3767393 * 512.63995 * 1.2799999 *
*      248 * -0.476459 * 372.93954 * 1.2799999 *
*      249 * 0.5639028 * 487.06802 * 1.3569654 *
*      250 * 0.3433802 * 324.28710 * 1.2799999 *
*      251 * -0.103379 * 230.27713 *         1 *
*      252 * 0.6703217 * 594.23730 * 0.9697185 *
*      253 * 0.7934604 * 407.27575 * 0.9661769 *
*      254 * 0.7750633 * 656.58404 *         1 *
*      255 * 0.2488916 * 438.30633 * 0.9668037 *
*      256 * 0.5448777 * 600.34710 *         1 *
