************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      171 * 0.7154590 * 222.23277 * 0.9679807 *
*      172 * 0.5503802 * 284.88681 * 1.2799999 *
*      173 * 0.6464575 * 248.42039 *         1 *
*      174 * -0.414431 * 165.02912 * 1.0954350 *
*      175 * 0.9983959 * 707.00103 * 1.2799999 *
*      176 * 0.9545263 * 201.35321 * 1.0455793 *
*      177 * 0.7287402 * 309.74673 * 1.4224844 *
*      178 * -0.449664 * 180.31752 * 1.2799999 *
*      179 * 0.8851471 * 354.95263 * 1.2799999 *
*      180 * 0.9098994 * 599.28692 * 1.2799999 *
*      181 * 0.9963476 * 202.86999 * 1.1899613 *
*      182 * 0.8352457 * 288.60815 * 1.2799999 *
*      183 * 0.8673040 * 325.03686 * 0.9747038 *
*      184 * 0.9947251 * 297.64697 * 1.2799999 *
*      185 * 0.9985399 * 1119.2308 * 1.2799999 *
*      186 * 0.7957632 * 627.37719 * 1.2799999 *
*      187 * 0.9272547 * 425.23049 * 1.2799999 *
*      188 * 0.5993719 * 266.23092 * 1.2799999 *
*      189 * 0.9996093 * 256.63943 * 1.2799999 *
*      190 * 0.6650890 * 354.34481 * 1.2799999 *
*      191 * 0.9730048 * 596.68981 * 1.2799999 *
*      192 * 0.4427892 * 317.92431 * 1.2799999 *
*      193 * 0.9020046 * 298.78509 * 1.0252577 *
*      194 * 0.9877549 *  415.5466 * 1.2799999 *
*      195 * 0.4908987 * 253.37121 * 1.2799999 *
*      196 * -0.170191 * 186.02281 * 1.2799999 *
*      197 * 0.4230505 * 244.69926 * 1.2799999 *
*      198 * 0.9978522 * 333.00854 * 1.2799999 *
*      199 * 0.9892420 * 211.68324 * 1.2799999 *
*      200 * 0.3878868 * 370.15432 * 1.2799999 *
*      201 * -0.439769 * 164.70759 * 1.2799999 *
*      202 * 0.9996286 * 359.44122 * 1.2799999 *
*      203 * 0.7643944 * 470.35397 * 1.2799999 *
*      204 * 0.1817651 * 199.66124 * 1.2799999 *
*      205 * 0.8497256 * 201.43142 * 1.2799999 *
*      206 * 0.0179733 * 224.61131 * 1.2799999 *
*      207 * 0.9996695 * 587.17419 * 1.2799999 *
*      208 * -0.246544 * 233.56143 * 1.2799999 *
