************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      166 * 0.9230893 * 327.65387 * 0.5954999 *
*      167 * 0.8647046 * 425.03848 * 0.5954999 *
*      168 * 0.6617491 * 266.11404 * 0.5954999 *
*      169 * 0.9816445 * 360.00326 * 0.5954999 *
*      170 * 0.9194764 * 373.91430 * 0.5954999 *
*      171 * 0.6682850 * 298.58682 * 0.5954999 *
*      172 * 0.4505696 * 404.91766 * 0.5954999 *
*      173 * 0.9308058 * 474.76483 * 0.5954999 *
*      174 * 0.7381150 * 295.63180 * 0.5954999 *
*      175 * 0.7806575 * 377.71292 * 0.5954999 *
*      176 * 0.2716320 * 231.40498 * 0.5954999 *
*      177 * 0.3351041 * 383.63522 * 0.5954999 *
*      178 * 0.6114594 * 223.55291 * 0.5954999 *
*      179 * -0.012584 * 304.88214 * 0.5954999 *
*      180 * 0.7136994 * 277.45230 * 0.5954999 *
*      181 * 0.5564383 * 242.71490 * 0.5954999 *
*      182 * -0.655866 * 195.95422 * 0.5954999 *
*      183 * 0.5244557 * 242.79504 * 0.5954999 *
*      184 * 0.8775606 * 856.97235 * 0.5954999 *
*      185 * 0.5093238 * 722.28179 * 0.5954999 *
*      186 * 0.7169775 * 306.58123 * 0.5954999 *
*      187 * -0.767252 * 156.13751 * 0.5954999 *
*      188 * 0.7475568 * 331.37609 * 0.5954999 *
*      189 * 0.8513104 * 672.20849 * 0.5954999 *
*      190 * -0.181713 * 296.66815 * 0.5954999 *
*      191 * -0.083784 * 167.40918 * 0.5954999 *
*      192 * -0.941686 * 164.77475 * 0.5954999 *
*      193 * -0.501112 * 153.21952 * 0.5954999 *
*      194 * 0.7134880 * 193.30938 * 0.5954999 *
*      195 * 0.9448249 * 285.68652 * 0.5954999 *
